iterations_s1_anneal,objective_s1_anneal,kl_s1_anneal,pp_s1_anneal,E_log_pxz_s1_anneal,ELBO_s1_anneal,kl_pct_obj_s1_anneal,objective_s1,kl_s1,pp_s1,E_log_pxz_s1,ELBO_s1,kl_pct_obj_s1,objective_s2,kl_s2,pp_s2,E_log_pxz_s2,ELBO_s2,kl_pct_obj_s2,objective_s3,kl_s3,pp_s3,E_log_pxz_s3,ELBO_s3,kl_pct_obj_s3,kl_s1_avg,kl_s1_anneal_avg,kl_s2_avg,kl_s3_avg,objective_s1_avg,objective_s1_anneal_avg,objective_s2_avg,objective_s3_avg,E_log_pxz_s1_avg,E_log_pxz_s1_anneal_avg,E_log_pxz_s2_avg,E_log_pxz_s3_avg,ELBO_s1_avg,ELBO_s1_anneal_avg,ELBO_s2_avg,ELBO_s3_avg,kl_pct_obj_s1_avg,kl_pct_obj_s1_anneal_avg,kl_pct_obj_s2_avg,kl_pct_obj_s3_avg
10000,-63.0667578125,11.0716088867,115.05720986542495,-51.9951489258,-63.0667578125,0.17555379839909224,-59.0275537109,0.307290477753,84.902319039401,-58.720263233147,-59.0275537109,0.005205881972646546,-114.003818359,6.583680419919999,5314.346952983551,-53.710068969539996,-60.29374938946,0.05774964834237285,-167.310625,8.738176879880001,293376.4317439636,-52.85748270670666,-61.59565958658666,0.052227268171880906,,,,,,,,,,,,,,,,,,,,
11000,-61.1795117187,10.4445239258,98.11794679857668,-50.7349877929,-61.1795117187,0.17071930834988258,-57.235297851599995,0.49829284668000007,73.00311327365151,-56.73700500491999,-57.235297851599995,0.008706040946479856,-110.98503906200001,6.86911865234,4104.0028063225955,-52.05796020483,-58.92707885717,0.061892293865866706,-162.874941406,9.0476184082,200689.8273288565,-51.2757743326,-60.3233927408,0.055549480663492065,,,,,,,,,,,,,,,,,,,,
12000,-65.8894775391,9.990043945310001,98.33733171435516,-55.89943359379,-65.8894775391,0.15161819942162585,-62.453125,0.5510765075680001,77.4090278169838,-61.902048492432,-62.453125,0.008823842002589944,-120.223339844,7.244291381839999,4324.703555400588,-56.48952423108,-63.73381561292,0.060256946706355716,-175.867910156,9.383193359369999,208369.65156832215,-55.49490559887666,-64.87809895824667,0.05335364109942986,,,,,,,,,,,,,,,,,,,,
13000,-63.2869384766,9.658233032230001,95.54312345225577,-53.62870544437,-63.2869384766,0.15261021096479616,-60.1478759766,0.639180755615,76.20449568221461,-59.508695220985,-60.1478759766,0.010626821732884926,-116.504765625,7.580104980469999,4419.205035463546,-54.462330322265004,-62.042435302735,0.06506261730844969,-170.430644531,10.0563684082,215101.4120322916,-53.45809204093334,-63.51446044913334,0.05900563502457931,,,,,,,,,,,,,,,,,,,,
14000,-63.917983398400004,9.16719970703,103.7338889399564,-54.75078369137,-63.917983398400004,0.14342129115511917,-61.2671728516,0.715519638062,85.56896398823294,-60.551653213538,-61.2671728516,0.011678678887225888,-118.123964844,7.96960021973,5315.360938104265,-55.077182312135,-63.046782531865,0.06746810632588421,-173.121054687,10.4684155273,288466.7555361323,-54.21754638656666,-64.68596191386666,0.06046876011832715,,,,,,,,,,,,,,,,,,,,
15000,-60.882128906300004,8.75773193359,86.93284871067205,-52.12439697271,-60.882128906300004,0.14384733403571506,-58.5159960937,0.730311126709,73.0834695981778,-57.785684966991,-58.5159960937,0.012480538236751087,-112.88404296899999,7.98949401855,3940.2168945172584,-52.447274475224994,-60.43676849377499,0.07077611510374465,-164.2359375,10.559731445299999,170275.54679088912,-51.22540201823333,-61.78513346353333,0.06429610721039662,,,,,,,,,,,,,,,,,,,,
16000,-63.1968603516,7.88880737305,91.73492200541037,-55.30805297855,-63.1968603516,0.12482910273010538,-60.91219726560001,0.760907745361,77.90871968789365,-60.151289520239004,-60.91219726560001,0.012491878138021472,-117.11729492200001,8.114966430660001,4335.073038842876,-54.501164245670005,-62.61613067633,0.06928922356057284,-170.77238281299998,10.829052734400001,201010.14866109367,-53.31444335953333,-64.14349609393332,0.06341220141115021,,,,,,,,,,,,,,,,,,,,
17000,-60.7949804687,7.560562744139999,88.24364919769233,-53.23441772456,-60.7949804687,0.12436162798066065,-58.6153808594,0.8211782836910001,75.14974670867983,-57.794202575709,-58.6153808594,0.014009604162783663,-113.326591797,8.279234619139999,4235.512131630906,-52.523678588930004,-60.80291320807,0.0730564158672525,-164.014863281,10.927634277300001,177473.7495013529,-51.02907633456667,-61.95671061186667,0.06662587803751742,,,,,,,,,,,,,,,,,,,,
18000,-60.4988818359,7.22470031738,82.49649327836545,-53.27418151852,-60.4988818359,0.11941874127486546,-58.681171875,0.830709838867,72.25293892170508,-57.850462036132996,-58.681171875,0.014156326677260994,-113.16393554700001,8.47975708008,3843.41425069846,-52.34208923346,-60.82184631354,0.07493338791277837,-165.124804687,11.7443908691,170095.29664315234,-51.12680460596667,-62.87119547506667,0.0711243286032157,,,,,,,,,,,,,,,,,,,,
19000,-58.1589306641,6.75103027344,81.80278553540455,-51.40790039066,-58.1589306641,0.11607899588854091,-56.8015820312,0.8777499389650001,73.81196087468709,-55.923832092234996,-56.8015820312,0.015452913591083946,-108.162226562,8.78687072754,3608.3483265168456,-49.68767791723,-58.474548644769996,0.08123788689301113,-156.930996094,11.835654296900001,144959.5809535724,-48.36511393236666,-60.200768229266664,0.07541948111901724,,,,,,,,,,,,,,,,,,,,
